ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10220415,HY404289,08/31/2015 09:30:00 AM,016XX N HUMBOLDT BLVD,0530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,False,False,1421,14.0,35.0,24.0,04A,1156123.0,1910793.0,2015,02/10/2018 03:50:01 PM,41.911005679,-87.701892453,"(41.911005679, -87.701892453)"
10075343,HY264468,05/17/2015 08:38:00 PM,070XX S CRANDON AVE,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,True,False,331,3.0,5.0,43.0,24,1192536.0,1858908.0,2015,02/10/2018 03:50:01 PM,41.767817613,-87.569820269,"(41.767817613, -87.569820269)"
10099370,HY287629,05/28/2015 03:00:00 PM,006XX E 91ST PL,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,"SCHOOL, PUBLIC, GROUNDS",False,False,633,6.0,6.0,44.0,14,1182175.0,1844448.0,2015,02/10/2018 03:50:01 PM,41.728383912,-87.608244178,"(41.728383912, -87.608244178)"
10311748,HY500459,11/13/2015 05:37:00 PM,066XX S HALSTED ST,2024,NARCOTICS,POSS: HEROIN(WHITE),ALLEY,True,False,723,7.0,6.0,68.0,18,1172109.0,1860931.0,2015,02/10/2018 03:50:01 PM,41.773842159,-87.644634557,"(41.773842159, -87.644634557)"
10295047,HY482512,10/30/2015 03:50:00 PM,028XX N SHEFFIELD AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,OTHER,False,False,1933,19.0,44.0,6.0,14,1169121.0,1919199.0,2015,11/06/2015 03:55:21 PM,41.933799675,-87.653897806,"(41.933799675, -87.653897806)"
10205073,HY391587,08/21/2015 12:54:00 PM,004XX S LOTUS AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,True,False,1522,15.0,29.0,25.0,18,1139957.0,1897364.0,2015,02/10/2018 03:50:01 PM,41.874466078,-87.761610127,"(41.874466078, -87.761610127)"
10082749,HY270956,05/04/2015 12:01:00 AM,113XX S PARNELL AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,False,False,2233,22.0,34.0,49.0,11,1174666.0,1829638.0,2015,02/10/2018 03:50:01 PM,41.687913415,-87.636190269,"(41.687913415, -87.636190269)"
10036129,HY225303,04/16/2015 09:00:00 AM,065XX N AVONDALE AVE,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,PARK PROPERTY,False,False,1612,16.0,41.0,9.0,14,1125156.0,1942906.0,2015,02/10/2018 03:50:01 PM,41.999696749,-87.814942902,"(41.999696749, -87.814942902)"
9988014,HY178183,03/09/2015 08:20:00 PM,031XX W FRANKLIN BLVD,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1221,12.0,27.0,23.0,14,1155328.0,1903164.0,2015,02/10/2018 03:50:01 PM,41.890087035,-87.705018281,"(41.890087035, -87.705018281)"
10071714,HY260133,05/14/2015 10:00:00 AM,064XX S SACRAMENTO AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,823,8.0,15.0,66.0,07,1157491.0,1861749.0,2015,02/10/2018 03:50:01 PM,41.776395607,-87.698199289,"(41.776395607, -87.698199289)"
10102877,HY292036,06/07/2015 08:00:00 AM,112XX S DR MARTIN LUTHER KING JR DR,0460,BATTERY,SIMPLE,APARTMENT,True,False,531,5.0,9.0,49.0,08B,1180912.0,1830503.0,2015,02/10/2018 03:50:01 PM,41.690146115,-87.613297918,"(41.690146115, -87.613297918)"
10040050,HY227447,04/18/2015 10:44:00 PM,039XX S ARTESIAN AVE,0560,ASSAULT,SIMPLE,RESIDENCE,False,True,921,9.0,12.0,58.0,08A,1160671.0,1878457.0,2015,02/10/2018 03:50:01 PM,41.822179478,-87.686080313,"(41.822179478, -87.686080313)"
10133570,HY322223,06/30/2015 01:00:00 PM,062XX S PARKSIDE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,812,8.0,13.0,64.0,14,1139810.0,1862667.0,2015,02/10/2018 03:50:01 PM,41.77925482,-87.762995564,"(41.77925482, -87.762995564)"
10360338,HY552109,12/27/2015 11:30:00 AM,008XX N CARPENTER ST,0820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),False,False,1213,12.0,27.0,24.0,06,1169304.0,1905677.0,2015,02/10/2018 03:50:01 PM,41.896690577,-87.653619125,"(41.896690577, -87.653619125)"
10347125,HY538055,12/15/2015 01:30:00 PM,032XX W ROOSEVELT RD,0460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",True,False,1134,11.0,24.0,29.0,08B,1155072.0,1894530.0,2015,02/10/2018 03:50:01 PM,41.866399599,-87.706190128,"(41.866399599, -87.706190128)"
10148271,HY337743,07/12/2015 01:13:00 PM,013XX W 72ND PL,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,True,False,734,7.0,17.0,67.0,15,1168506.0,1856685.0,2015,02/10/2018 03:50:01 PM,41.762269007,-87.657964628,"(41.762269007, -87.657964628)"
10074945,HY263764,05/17/2015 10:00:00 AM,008XX E 44TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,221,2.0,4.0,39.0,14,1182570.0,1876017.0,2015,02/10/2018 03:50:01 PM,41.815003152,-87.605818995,"(41.815003152, -87.605818995)"
